"mlbid","fullname","firstname","lastname","birthdate","currentage","birthcountry","active","primaryposition","bats","throws","draftyear"
110056,"Joe Adams","Joseph","Adams","1877-10-28","74","USA",0,"P","Right","Left",
110057,"Karl Adams","Karl","Adams","1891-08-11","76","USA",0,"P","Right","Right",
110058,"Rick Adams","Reuben","Adams","1878-12-24","76","USA",0,"P","Left","Left",
110059,"Dick Adams","Richard","Adams","1920-04-08","96","USA",0,"1B","Right","Left",
110060,"Ricky Adams","Ricky","Adams","1959-01-21","52","USA",0,"2B","Right","Right","1977"
110061,"Bob Adams","Robert","Adams","1907-01-20","63","USA",0,"P","Right","Right",
110062,"Bob Adams","Robert","Adams","1901-07-24","95","USA",0,"P","Right","Right",
110063,"Bobby Adams","Robert","Adams","1921-12-14","75","USA",0,"3B","Right","Right",
110064,"Bob Adams","Robert","Adams","1952-01-06","70","USA",0,"1B","Right","Right","1973"
110065,"Mike Adams","Robert","Adams","1948-07-24","74","USA",0,"LF","Right","Right","1966"
110066,"Spencer Adams","Spencer","Adams","1898-06-21","72","USA",0,"2B","Left","Right",
110067,"Terry Adams","Terry","Adams","1973-03-06","49","USA",0,"P","Right","Right","1991"
110068,"Willie Adams","William","Adams","1972-10-08","50","USA",0,"P","Right","Right","1993"
110069,"Joel Adamson","Joel","Adamson","1971-07-02","51","USA",0,"P","Left","Left","1990"
110070,"Mike Adamson","John","Adamson","1947-09-13","75","USA",0,"P","Right","Right","1965"
110071,"Joe Adcock","Joseph","Adcock","1927-10-30","71","USA",0,"1B","Right","Right",
110072,"Bob Addis","Robert","Addis","1925-11-06","91","USA",0,"CF","Left","Right",
110073,"Jim Adduci","James","Adduci","1959-08-09","63","USA",0,"LF","Left","Left","1980"
110074,"Bob Addy","Robert","Addy","1842-02-01","68","Canada",0,"RF","Left","Left",
110075,"Morrie Aderholt","Morris","Aderholt","1915-09-13","39","USA",0,"LF","Left","Right",
110076,"Grady Adkins","Grady","Adkins","1897-06-29","68","USA",0,"P","Right","Right",
110077,"Dewey Adkins","John","Adkins","1918-05-11","80","USA",0,"P","Right","Right",
110078,"Doc Adkins","Merle","Adkins","1872-08-05","61","USA",0,"P","Right","Right",
110079,"Dick Adkins","Richard","Adkins","1920-03-03","35","USA",0,"SS","Right","Right",
110080,"Steve Adkins","Steven","Adkins","1964-10-26","58","USA",0,"P","Right","Left","1986"
110081,"Harry Atkinson","John","Atkinson","1874-01-19","78","USA",0,"LF","NA","NA",
110082,"Dave Adlesh","David","Adlesh","1943-07-15","79","USA",0,"C","Right","Right",
110083,"Troy Afenir","Michael","Afenir","1963-09-21","59","USA",0,"C","Right","Right",
110084,"Tommie Agee","Tommie","Agee","1942-08-09","58","USA",0,"CF","Right","Right",
110085,"Harry Agganis","Harry","Agganis","1929-04-20","26","USA",0,"1B","Left","Left",
110086,"Joe Agler","Joseph","Agler","1887-06-12","83","USA",0,"1B","Left","Left",
110087,"Sam Agnew","Samuel","Agnew","1887-04-12","64","USA",0,"C","Right","Right",
110088,"Juan Agosto","Juan","Agosto","1958-02-23","64","Puerto Rico",0,"P","Left","Left",
110089,"Luis Aguayo","Luis","Aguayo","1959-03-13","63","Puerto Rico",0,"SS","Right","Right",
110090,"Rick Aguilera","Richard","Aguilera","1961-12-31","60","USA",0,"P","Right","Right","1983"
110091,"Hank Aguirre","Henry","Aguirre","1931-01-31","63","USA",0,"P","Right","Left",
110092,"Bill Ahearn","William","Ahearn","1858-01-01","61","USA",0,"C","NA","NA",
110093,"Pat Ahearne","Patrick","Ahearne","1969-12-10","52","USA",0,"P","Right","Right","1992"
110094,"Willie Aikens","Willie","Aikens","1954-10-14","68","USA",0,"1B","Left","Right",
110095,"Danny Ainge","Daniel","Ainge","1959-03-17","63","USA",0,"2B","Right","Right","1977"
110096,"Eddie Ainsmith","Edward","Ainsmith","1890-02-04","91","Russian Federation",0,"C","Right","Right",
110097,"Raleigh Aitchison","Raleigh","Aitchison","1887-12-05","70","USA",0,"P","Right","Left",
110098,"George Aiton","George","Aiton","1890-12-29","85","USA",0,"LF","Switch","Right",
110099,"John Ake","John","Ake","1861-08-29","25","USA",0,"3B","Right","Right",
110100,"Jack Aker","Jackie","Aker","1940-07-13","82","USA",0,"P","Right","Right",
